Transaction_ID,Account_Number,Transaction_Date,Transaction_Amount,Merchant_Name,Transaction_Type,Category,City,Country,Payment_Method,Customer_Age,Customer_Gender,Customer_Occupation,Customer_Income,Account_Balance,Transaction_Status,Fraud_Flag,Discount_Applied,Loyalty_Points_Earned,Transaction_Description
bdd640fb-0667-4ad1-9c80-317fa3b1799d,IUPM04409079772781,2023-11-05 15:54:38,3198.94,Houston Group,Debit,Transport,Phoenix,USA,Online Transfer,55,Others,Quality manager,80466.03,350.28,Failed,No,True,304,Recently company detail form range a.
23b8c1e9-3924-46de-beb1-3b9046685257,BLAT22216107051843,2024-04-21 22:21:55,129.93,Anderson-Phillips,Credit,Grocery,Philadelphia,USA,Debit Card,26,Others,Civil Service fast streamer,145574.25,9797.81,Pending,Yes,False,383,Anything son baby power heart will not up.
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,UTXA55295806601382,2023-07-17 13:25:56,1378.77,Jensen Group,Credit,Shopping,New York,USA,Debit Card,29,Others,"Pilot, airline",33447.18,12399.85,Failed,Yes,False,497,Form world around green bar environment pattern.
972a8469-1641-4f82-8b9d-2434e465e150,XICF70493862044851,2023-06-27 16:09:52,1119.94,"Nelson, Gomez and Rodriguez",Credit,Healthcare,Dallas,USA,Online Transfer,60,Male,"Radiographer, therapeutic",108801.45,16057.64,Failed,Yes,True,495,Order evening source these opportunity trade idea.
17fc695a-07a0-4a6e-8822-e8f36c031199,KOSW19711121259020,2024-03-26 23:45:31,3683.67,Caldwell Group,Credit,Entertainment,San Jose,USA,E-Wallet,29,Others,Diplomatic Services operational officer,100985.12,14940.54,Failed,Yes,True,292,Exactly politics door suggest.
9a1de644-815e-46d1-bb8f-aa1837f8a88b,GULO13432406424295,2023-08-06 20:56:56,3385.11,Sanchez LLC,Debit,Healthcare,Los Angeles,USA,Credit Card,21,Male,Osteopath,102713.53,7768.29,Success,No,True,281,Billion act author sister tend.
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,NHGI32447417595587,2023-04-20 22:46:13,4461.44,"Robertson, Harvey and Neal",Credit,Savings,San Diego,USA,Debit Card,41,Male,Event organiser,63919.32,5437.07,Pending,No,False,417,Age process challenge issue trip.
6b65a6a4-8b81-48f6-b38a-088ca65ed389,UVFB96289365435884,2024-04-15 02:24:06,439.26,"Armstrong, Cook and Rodriguez",Debit,Transport,San Diego,USA,Credit Card,42,Others,Financial controller,72654.64,9680.49,Failed,No,True,95,Religious behind public something either new.
47378190-96da-4dac-b2ff-5d2a386ecbe0,CQYG43740182727955,2024-07-13 05:44:00,2112.5,White-Frederick,Credit,Entertainment,San Antonio,USA,Debit Card,26,Female,"Copywriter, advertising",29735.99,16876.33,Failed,Yes,False,462,Animal themselves among boy successful discuss.
c241330b-01a9-471f-9e8a-774bcf36d58b,SMVS05150267551254,2023-12-25 07:40:39,153.84,"Christian, Schroeder and Drake",Credit,Clothing,Dallas,USA,Credit Card,59,Female,Hydrologist,115996.67,9807.13,Pending,No,False,15,Short operation blue maybe not hit month.
